,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
71,albany,US,2020-09-29 15:08:24,42.6,-73.97,90,77,63.266000000000005,3.6
72,mehtar lam,AF,2020-09-29 15:08:47,34.67,70.21,44,65,70.26799999999999,1.39
73,calvinia,ZA,2020-09-29 15:08:47,-31.47,19.78,0,44,49.83800000000005,1.02
74,yar-sale,RU,2020-09-29 15:08:48,66.83,70.83,99,78,41.0,2.48
75,tevaitoa,PF,2020-09-29 15:08:48,-16.78,-151.5,6,77,79.79000000000002,10.46
76,rocha,UY,2020-09-29 15:08:48,-34.48,-54.33,0,73,56.28200000000002,3.37
77,nanortalik,GL,2020-09-29 15:04:29,60.14,-45.24,0,76,36.788000000000046,10.69
78,syracuse,IT,2020-09-29 15:06:07,37.09,15.28,20,88,68.26999999999995,2.1
79,tiksi,RU,2020-09-29 15:08:49,71.69,128.87,100,96,33.943999999999974,3.33
80,acapulco,MX,2020-09-29 15:06:03,16.86,-99.89,90,66,88.06999999999996,2.6
81,pareora,NZ,2020-09-29 15:08:50,-44.49,171.21,15,56,45.28399999999999,2.11
82,cape town,ZA,2020-09-29 15:07:40,-33.93,18.42,0,66,56.26400000000004,6.2
83,karratha,AU,2020-09-29 15:07:32,-20.74,116.85,86,33,70.64600000000004,3.95
84,adre,TD,2020-09-29 15:08:50,13.47,22.2,100,80,72.89600000000004,2.95
85,brigantine,US,2020-09-29 15:08:51,39.41,-74.36,40,88,73.66999999999996,5.7
86,coquimbo,CL,2020-09-29 15:06:19,-29.95,-71.34,20,55,61.069999999999965,6.7
87,xichang,CN,2020-09-29 15:08:51,27.9,102.26,86,72,63.608000000000004,0.32
88,broome,US,2020-09-29 15:08:51,42.25,-75.83,90,93,57.272000000000034,2.1
89,vaitupu,,,,,,,,
90,caravelas,BR,2020-09-29 15:08:52,-17.71,-39.25,0,82,75.10999999999999,3.85
91,saint-jean-de-luz,FR,2020-09-29 15:08:52,43.39,-1.66,0,93,57.469999999999956,1.5
92,tarudant,,,,,,,,
93,novomykolayivka,UA,2020-09-29 15:08:53,47.98,35.91,75,48,66.46999999999997,5
94,merauke,ID,2020-09-29 15:08:53,-8.47,140.33,87,72,78.81799999999998,7.61
95,maceio,BR,2020-09-29 15:08:26,-9.67,-35.74,3,83,75.46999999999997,3.1
